# darshan log version: 3.21
# compression method: ZLIB
# exe: ./C_scripts/file_iter_l_name train64_0.h5 0 
# uid: 21512
# jobid: 3480824
# start_time: 1667454937
# start_time_asci: Thu Nov  3 00:55:37 2022
# end_time: 1667454937
# end_time_asci: Thu Nov  3 00:55:37 2022
# nprocs: 1
# run time: 1
# metadata: lib_ver = 3.4.0
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 327 bytes (compressed)
# record table: 145 bytes (compressed)
# POSIX module: 161 bytes (compressed), ver=4
# STDIO module: 51 bytes (compressed), ver=2
# DXT_POSIX module: 13638 bytes (compressed), ver=1
# HEATMAP module: 65 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/sys/firmware/efi/efivars	efivarfs
# mount entry:	/proc/sys/fs/binfmt_misc	autofs
# mount entry:	/sys/kernel/tracing	tracefs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/homes/zhd1108	xfs
# mount entry:	/homes/yll6162	xfs
# mount entry:	/homes/wkliao	xfs
# mount entry:	/sys/fs/bpf	bpf
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/vol/cucis	xfs
# mount entry:	/boot/efi	vfat
# mount entry:	/files4	xfs
# mount entry:	/files7	xfs
# mount entry:	/files1	xfs
# mount entry:	/files5	xfs
# mount entry:	/files3	xfs
# mount entry:	/files2	xfs
# mount entry:	/files8	xfs
# mount entry:	/files6	xfs
# mount entry:	/homes	autofs
# mount entry:	/boot	xfs
# mount entry:	/misc	autofs
# mount entry:	/meas	autofs
# mount entry:	/dev	devtmpfs
# mount entry:	/usr	xfs
# mount entry:	/tmp	xfs
# mount entry:	/var	xfs
# mount entry:	/net	autofs
# mount entry:	/vol	autofs
# mount entry:	/	xfs

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 12316929884430929403, file_name: /homes/yll6162/project_metadata/train64_0.h5
# DXT, rank: 0, hostname: acfs.ece.northwestern.edu
# DXT, write_count: 0, read_count: 1494
# DXT, mnt_pt: /homes/yll6162, fs_type: xfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0   read      110          793356             328      0.0013      0.0013
 X_POSIX       0   read      111          781772             512      0.0013      0.0013
 X_POSIX       0   read      112          785284             512      0.0014      0.0014
 X_POSIX       0   read      113          787660             512      0.0014      0.0014
 X_POSIX       0   read      114          790336             512      0.0014      0.0014
 X_POSIX       0   read      115          802444             328      0.0014      0.0014
 X_POSIX       0   read      116          793196             512      0.0014      0.0014
 X_POSIX       0   read      117          795732             512      0.0014      0.0014
 X_POSIX       0   read      118          797940             512      0.0014      0.0014
 X_POSIX       0   read      119          800124             512      0.0014      0.0014
 X_POSIX       0   read      120          802308             512      0.0014      0.0014
 X_POSIX       0   read      121          804820             512      0.0014      0.0014
 X_POSIX       0   read      122          807356             512      0.0014      0.0014
 X_POSIX       0   read      123          809540             512      0.0014      0.0014
 X_POSIX       0   read      124          809676             512      0.0014      0.0014
 X_POSIX       0   read      125          809716             544      0.0014      0.0014
 X_POSIX       0   read      126          810260             512      0.0014      0.0014
 X_POSIX       0   read      127          854928             352      0.0014      0.0014
 X_POSIX       0   read      128          812580             328      0.0014      0.0014
 X_POSIX       0   read      129          812428             512      0.0014      0.0014
 X_POSIX       0   read      130          814956             512      0.0014      0.0014
 X_POSIX       0   read      131          817156             512      0.0014      0.0014
 X_POSIX       0   read      132          822588             512      0.0014      0.0014
 X_POSIX       0   read      133          843000             328      0.0014      0.0014
 X_POSIX       0   read      134          829332             512      0.0014      0.0014
 X_POSIX       0   read      135          835468             512      0.0014      0.0014
 X_POSIX       0   read      136          837844             512      0.0014      0.0014
 X_POSIX       0   read      137          840088             512      0.0015      0.0015
 X_POSIX       0   read      138          852416             328      0.0015      0.0015
 X_POSIX       0   read      139          842840             512      0.0015      0.0015
 X_POSIX       0   read      140          845704             512      0.0015      0.0015
 X_POSIX       0   read      141          847912             512      0.0015      0.0015
 X_POSIX       0   read      142          850096             512      0.0015      0.0015
 X_POSIX       0   read      143          852280             512      0.0015      0.0015
 X_POSIX       0   read      144          854792             512      0.0015      0.0015
 X_POSIX       0   read      145          857328             512      0.0015      0.0015
 X_POSIX       0   read      146          859512             512      0.0015      0.0015
 X_POSIX       0   read      147          859648             512      0.0015      0.0015
 X_POSIX       0   read      148          859688             544      0.0015      0.0015
