# darshan log version: 3.21
# compression method: ZLIB
# exe: ./C_scripts/file_iter_l_name train64_4194304.h5 4194304 
# uid: 21512
# jobid: 2318893
# start_time: 1670488253
# start_time_asci: Thu Dec  8 02:30:53 2022
# end_time: 1670488253
# end_time_asci: Thu Dec  8 02:30:53 2022
# nprocs: 1
# run time: 1
# metadata: lib_ver = 3.4.0
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 335 bytes (compressed)
# record table: 162 bytes (compressed)
# POSIX module: 161 bytes (compressed), ver=4
# STDIO module: 49 bytes (compressed), ver=2
# DXT_POSIX module: 12499 bytes (compressed), ver=1
# HEATMAP module: 78 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/sys/firmware/efi/efivars	efivarfs
# mount entry:	/proc/sys/fs/binfmt_misc	autofs
# mount entry:	/sys/kernel/tracing	tracefs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/homes/zhd1108	xfs
# mount entry:	/homes/yll6162	xfs
# mount entry:	/homes/wkliao	xfs
# mount entry:	/sys/fs/bpf	bpf
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/vol/cucis	xfs
# mount entry:	/boot/efi	vfat
# mount entry:	/files4	xfs
# mount entry:	/files7	xfs
# mount entry:	/files1	xfs
# mount entry:	/files5	xfs
# mount entry:	/files3	xfs
# mount entry:	/files2	xfs
# mount entry:	/files8	xfs
# mount entry:	/files6	xfs
# mount entry:	/homes	autofs
# mount entry:	/boot	xfs
# mount entry:	/misc	autofs
# mount entry:	/meas	autofs
# mount entry:	/dev	devtmpfs
# mount entry:	/usr	xfs
# mount entry:	/tmp	xfs
# mount entry:	/var	xfs
# mount entry:	/net	autofs
# mount entry:	/vol	autofs
# mount entry:	/	xfs

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 13216830486790783839, file_name: /homes/yll6162/project_metadata/project_hdf_block/train64_4194304.h5
# DXT, rank: 0, hostname: acfs.ece.northwestern.edu
# DXT, write_count: 0, read_count: 1494
# DXT, mnt_pt: /homes/yll6162, fs_type: xfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0   read      156           29896             328      0.0020      0.0020
 X_POSIX       0   read      157           28976             512      0.0020      0.0020
 X_POSIX       0   read      158           29128             512      0.0020      0.0020
 X_POSIX       0   read      159           29456             512      0.0020      0.0020
 X_POSIX       0   read      160           29576             512      0.0020      0.0020
 X_POSIX       0   read      161           30792             328      0.0020      0.0021
 X_POSIX       0   read      162           29736             512      0.0021      0.0021
 X_POSIX       0   read      163           30224             512      0.0021      0.0021
 X_POSIX       0   read      164           30384             512      0.0021      0.0021
 X_POSIX       0   read      165           30520             512      0.0021      0.0021
 X_POSIX       0   read      166           30656             512      0.0021      0.0021
 X_POSIX       0   read      167           31120             512      0.0021      0.0021
 X_POSIX       0   read      168           29280             512      0.0021      0.0021
 X_POSIX       0   read      169           31608             512      0.0021      0.0021
 X_POSIX       0   read      170           29416             512      0.0021      0.0021
 X_POSIX       0   read      171           31744             544      0.0021      0.0021
 X_POSIX       0   read      172           32288             512      0.0021      0.0021
 X_POSIX       0   read      173           35624             352      0.0021      0.0021
 X_POSIX       0   read      174           32560             328      0.0021      0.0021
 X_POSIX       0   read      175           32408             512      0.0021      0.0021
 X_POSIX       0   read      176           32888             512      0.0021      0.0021
 X_POSIX       0   read      177           33040             512      0.0021      0.0021
 X_POSIX       0   read      178           33192             512      0.0021      0.0021
 X_POSIX       0   read      179           34264             328      0.0021      0.0021
 X_POSIX       0   read      180           33344             512      0.0021      0.0021
 X_POSIX       0   read      181           33496             512      0.0021      0.0021
 X_POSIX       0   read      182           33824             512      0.0021      0.0021
 X_POSIX       0   read      183           33944             512      0.0021      0.0021
 X_POSIX       0   read      184           35160             328      0.0021      0.0021
 X_POSIX       0   read      185           34104             512      0.0022      0.0022
 X_POSIX       0   read      186           34592             512      0.0022      0.0022
 X_POSIX       0   read      187           34752             512      0.0022      0.0022
 X_POSIX       0   read      188           34888             512      0.0022      0.0022
 X_POSIX       0   read      189           35024             512      0.0022      0.0022
 X_POSIX       0   read      190           35488             512      0.0022      0.0022
 X_POSIX       0   read      191           33648             512      0.0022      0.0022
 X_POSIX       0   read      192           35976             512      0.0022      0.0022
 X_POSIX       0   read      193           54752             328      0.0022      0.0022
 X_POSIX       0   read      194           33784             512      0.0022      0.0022
 X_POSIX       0   read      195           36112             544      0.0022      0.0022
 X_POSIX       0   read      196           36656             512      0.0022      0.0022
 X_POSIX       0   read      197           40496             352      0.0022      0.0022
 X_POSIX       0   read      198           37432             328      0.0022      0.0023
 X_POSIX       0   read      199           37280             512      0.0023      0.0023
 X_POSIX       0   read      200           37760             512      0.0023      0.0023
 X_POSIX       0   read      201           37912             512      0.0023      0.0023
 X_POSIX       0   read      202           38064             512      0.0023      0.0023
 X_POSIX       0   read      203           39136             328      0.0023      0.0023
 X_POSIX       0   read      204           38216             512      0.0023      0.0023
 X_POSIX       0   read      205           38368             512      0.0023      0.0023
 X_POSIX       0   read      206           38696             512      0.0023      0.0023
 X_POSIX       0   read      207           38816             512      0.0023      0.0023
 X_POSIX       0   read      208           40032             328      0.0023      0.0023
 X_POSIX       0   read      209           38976             512      0.0023      0.0023
 X_POSIX       0   read      210           39464             512      0.0023      0.0023
 X_POSIX       0   read      211           39624             512      0.0023      0.0023
 X_POSIX       0   read      212           39760             512      0.0023      0.0023
 X_POSIX       0   read      213           39896             512      0.0023      0.0023
 X_POSIX       0   read      214           40360             512      0.0023      0.0023
 X_POSIX       0   read      215           38520             512      0.0023      0.0023
 X_POSIX       0   read      216           40848             512      0.0023      0.0023
 X_POSIX       0   read      217           38656             512      0.0023      0.0023
 X_POSIX       0   read      218           40984             544      0.0023      0.0023
 X_POSIX       0   read      219           41528             512      0.0023      0.0023
 X_POSIX       0   read      220           44864             352      0.0023      0.0023
 X_POSIX       0   read      221           41800             328      0.0023      0.0023
 X_POSIX       0   read      222           41648             512      0.0023      0.0023
 X_POSIX       0   read      223           42128             512      0.0023      0.0023
 X_POSIX       0   read      224           42280             512      0.0024      0.0024
 X_POSIX       0   read      225           42432             512      0.0024      0.0024
 X_POSIX       0   read      226           43504             328      0.0024      0.0024
 X_POSIX       0   read      227           42584             512      0.0024      0.0024
 X_POSIX       0   read      228           42736             512      0.0024      0.0024
 X_POSIX       0   read      229           43064             512      0.0024      0.0024
 X_POSIX       0   read      230           43184             512      0.0024      0.0024
 X_POSIX       0   read      231           44400             328      0.0024      0.0024
 X_POSIX       0   read      232           43344             512      0.0024      0.0024
 X_POSIX       0   read      233           43832             512      0.0024      0.0024
 X_POSIX       0   read      234           43992             512      0.0024      0.0024
 X_POSIX       0   read      235           44128             512      0.0024      0.0024
 X_POSIX       0   read      236           44264             512      0.0024      0.0024
 X_POSIX       0   read      237           44728             512      0.0024      0.0024
 X_POSIX       0   read      238           42888             512      0.0024      0.0024
 X_POSIX       0   read      239           45216             512      0.0024      0.0024
 X_POSIX       0   read      240           43024             512      0.0024      0.0024
 X_POSIX       0   read      241           45352             544      0.0024      0.0024
 X_POSIX       0   read      242           45896             512      0.0024      0.0024
 X_POSIX       0   read      243           49232             352      0.0024      0.0024
 X_POSIX       0   read      244           46168             328      0.0024      0.0024
 X_POSIX       0   read      245           46016             512      0.0024      0.0024
 X_POSIX       0   read      246           46496             512      0.0024      0.0024
 X_POSIX       0   read      247           46648             512      0.0024      0.0024
 X_POSIX       0   read      248           46800             512      0.0024      0.0024
 X_POSIX       0   read      249           47872             328      0.0024      0.0024
